ablation,task,regime,seed,episodes,interpretation,success,valid_invariance_retention,invalid_invariance_rejection,action_equivalence_f1,false_invariance_acceptance,contact_frame_violation,affordance_violation,temporal_order_violation,unsafe_action,calibration_ece,intervention_cost,observation_equivalence_score,action_equivalence_score,physical_validity_margin,over_invariance_rate,regret_to_oracle,utility
full_action_equivalence_invariance_audit_v5,peg_insertion,lighting_background_shift,0,6,all components,0.5,0.666667,0.833333,0.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.5,1.0,0.5,0.0,0.0,0.63
full_action_equivalence_invariance_audit_v5,peg_insertion,lighting_background_shift,1,6,all components,0.666667,0.833333,0.666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.833333,0.0,0.0,0.766667
full_action_equivalence_invariance_audit_v5,peg_insertion,lighting_background_shift,2,6,all components,0.833333,0.666667,0.833333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.5,1.0,0.5,0.0,0.0,0.928333
full_action_equivalence_invariance_audit_v5,peg_insertion,lighting_background_shift,3,6,all components,1.0,0.833333,0.666667,0.833333,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.833333,0.833333,0.833333,0.0,0.0,1.0
full_action_equivalence_invariance_audit_v5,peg_insertion,lighting_background_shift,4,6,all components,0.833333,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.5,0.666667,0.5,0.0,0.0,0.923333
full_action_equivalence_invariance_audit_v5,peg_insertion,lighting_background_shift,5,6,all components,0.833333,0.5,0.833333,0.5,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.333333,0.833333,0.666667,0.0,0.0,0.958333
full_action_equivalence_invariance_audit_v5,peg_insertion,lighting_background_shift,6,6,all components,0.666667,1.0,0.666667,0.666667,0.0,0.0,0.0,0.0,0.0,0.333333,0.166667,0.666667,0.5,0.166667,0.0,0.0,0.765
full_action_equivalence_invariance_audit_v5,peg_insertion,lighting_background_shift,7,6,all components,1.0,0.166667,0.666667,0.833333,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.666667,0.833333,0.666667,0.0,0.0,1.0
full_action_equivalence_invariance_audit_v5,peg_insertion,lighting_background_shift,8,6,all components,0.833333,0.833333,0.833333,0.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.666667,0.833333,0.0,0.0,1.0
full_action_equivalence_invariance_audit_v5,peg_insertion,lighting_background_shift,9,6,all components,0.5,0.666667,0.833333,0.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.666667,0.5,0.833333,0.0,0.0,0.656667
full_action_equivalence_invariance_audit_v5,peg_insertion,camera_viewpoint_shift,0,6,all components,0.666667,0.5,0.5,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.666667,0.0,0.0,0.786667
full_action_equivalence_invariance_audit_v5,peg_insertion,camera_viewpoint_shift,1,6,all components,0.666667,0.833333,0.833333,0.833333,0.0,0.0,0.0,0.0,0.0,0.166667,0.333333,1.0,0.833333,1.0,0.166667,0.0,0.821667
full_action_equivalence_invariance_audit_v5,peg_insertion,camera_viewpoint_shift,2,6,all components,0.666667,0.666667,1.0,0.666667,0.0,0.166667,0.0,0.0,0.0,0.0,0.166667,0.666667,0.5,0.666667,0.0,0.0,0.8
full_action_equivalence_invariance_audit_v5,peg_insertion,camera_viewpoint_shift,3,6,all components,0.666667,0.833333,0.833333,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.5,0.833333,0.166667,0.0,0.821667
